order_id,order_date,customer_id,product_id,quantity,unit_price,discount_rate,revenue,cogs,shipping_cost,profit,sales_channel,payment_method,returned_flag
O00072,2024-02-14,C0096,P007,4,579.93,0.1,2087.75,1718.44,13.09,356.22,Online,Card,0
O00073,2024-06-30,C0284,P002,5,431.8,0.1,1943.1,1582.85,17.69,342.56,Online,Wallet,0
O00074,2024-07-30,C0199,P002,6,431.8,0.1,2331.72,1899.42,20.1,412.2,Partner,Cash,0
O00075,2024-12-16,C0195,P003,2,478.73,0,957.46,747.28,8.02,202.16,Online,Cash,0
O00076,2024-08-10,C0142,P007,3,579.93,0.05,1652.8,1288.83,17.65,346.32,Online,Bank Transfer,0
O00077,2024-10-31,C0316,P004,4,933.18,0,3732.72,2378.04,4.71,1333.1,Partner,Bank Transfer,1
O00078,2025-02-15,C0169,P008,3,681.31,0.05,1941.73,1476.63,18.31,446.79,Partner,Cash,0
O00079,2024-06-02,C0165,P010,6,569.77,0,3418.62,2138.82,11.58,1268.22,Store,Wallet,0
O00080,2024-05-29,C0325,P008,5,681.31,0,3406.55,2461.05,8.52,936.98,Store,Wallet,0
O00081,2024-02-28,C0289,P004,5,933.18,0.1,4199.31,2972.55,5.6,1221.16,Online,Bank Transfer,0
O00082,2024-12-28,C0108,P008,3,681.31,0.15,1737.34,1476.63,3.38,257.33,Store,Bank Transfer,0
O00083,2024-03-12,C0325,P005,2,260.02,0,520.04,380.1,15.17,124.77,Store,Card,0
O00084,2024-08-17,C0307,P008,5,681.31,0.05,3236.22,2461.05,12.69,762.48,Partner,Bank Transfer,0
O00085,2024-10-05,C0019,P006,6,732.43,0.1,3955.12,2997.3,13.88,943.94,Online,Cash,0
O00086,2024-12-02,C0341,P006,2,732.43,0.15,1245.13,999.1,14.25,231.78,Partner,Bank Transfer,0
O00087,2025-01-20,C0170,P007,1,579.93,0,579.93,429.61,3.97,146.35,Partner,Cash,0
O00088,2024-08-16,C0192,P007,4,579.93,0.15,1971.76,1718.44,13.77,239.55,Store,Card,0
O00089,2024-09-04,C0054,P005,4,260.02,0,1040.08,760.2,4.32,275.56,Online,Wallet,0
O00090,2024-06-08,C0176,P008,2,681.31,0.1,1226.36,984.42,11.66,230.28,Store,Bank Transfer,0
O00091,2024-06-12,C0035,P005,1,260.02,0.15,221.02,190.05,4.3,26.67,Partner,Card,0
O00092,2024-12-12,C0085,P012,2,43.97,0.1,79.15,61.18,5.49,12.48,Partner,Bank Transfer,0
O00093,2024-08-24,C0119,P007,6,579.93,0,3479.58,2577.66,5.73,896.19,Store,Card,0
O00094,2025-01-12,C0315,P004,4,933.18,0.1,3359.45,2378.04,10.59,959.38,Store,Card,1
O00095,2024-10-22,C0053,P009,2,691.49,0,1382.98,818.36,8.52,556.1,Store,Bank Transfer,0
O00096,2024-09-27,C0328,P006,5,732.43,0.05,3479.04,2497.75,14.23,967.06,Store,Wallet,0
O00097,2025-03-08,C0235,P010,2,569.77,0.15,968.61,712.94,16.12,239.55,Partner,Card,0
O00098,2024-12-10,C0069,P006,1,732.43,0,732.43,499.55,8.11,224.77,Partner,Cash,0
O00099,2024-09-18,C0199,P007,5,579.93,0,2899.65,2148.05,13.5,738.1,Store,Cash,0
O00100,2024-10-11,C0086,P008,3,681.31,0,2043.93,1476.63,5.74,561.56,Partner,Card,0
O00101,2025-03-19,C0184,P001,4,424.39,0,1697.56,1129.36,5.9,562.3,Partner,Bank Transfer,0
O00102,2024-07-28,C0252,P007,6,579.93,0.05,3305.6,2577.66,11.77,716.17,Online,Cash,0
O00103,2024-05-29,C0017,P005,2,260.02,0.1,468.04,380.1,7.77,80.17,Partner,Bank Transfer,0
O00104,2024-10-08,C0262,P002,5,431.8,0,2159.0,1582.85,7.36,568.79,Store,Card,0
O00105,2025-01-24,C0226,P009,2,691.49,0.05,1313.83,818.36,4.05,491.42,Online,Wallet,0
O00106,2025-03-23,C0017,P008,3,681.31,0,2043.93,1476.63,19.24,548.06,Online,Cash,0
O00107,2024-04-17,C0302,P012,3,43.97,0.15,112.12,91.77,14.21,6.14,Partner,Cash,0
O00108,2025-02-05,C0106,P004,1,933.18,0.1,839.86,594.51,9.02,236.33,Partner,Cash,0
O00109,2024-06-14,C0150,P005,5,260.02,0,1300.1,950.25,21.05,328.8,Partner,Card,0
O00110,2024-03-10,C0211,P001,3,424.39,0.15,1082.19,847.02,4.54,230.63,Online,Cash,0
O00111,2024-12-30,C0165,P004,6,933.18,0.05,5319.13,3567.06,11.79,1740.28,Store,Bank Transfer,0
O00112,2024-07-11,C0232,P002,6,431.8,0,2590.8,1899.42,10.06,681.32,Partner,Wallet,0
O00113,2024-08-20,C0250,P006,5,732.43,0,3662.15,2497.75,19.38,1145.02,Online,Bank Transfer,0
O00114,2024-11-21,C0341,P012,3,43.97,0,131.91,91.77,17.91,22.23,Store,Cash,0
O00115,2024-09-10,C0138,P006,3,732.43,0,2197.29,1498.65,12.95,685.69,Store,Wallet,0
O00116,2024-12-15,C0025,P001,1,424.39,0.15,360.73,282.34,17.68,60.71,Online,Cash,0
O00117,2024-08-13,C0234,P001,4,424.39,0,1697.56,1129.36,21.91,546.29,Partner,Wallet,0
O00118,2024-03-22,C0141,P002,6,431.8,0,2590.8,1899.42,7.01,684.37,Partner,Cash,0
O00119,2024-01-27,C0203,P011,3,678.3,0.15,1729.66,1317.93,15.99,395.74,Partner,Card,0
O00120,2024-12-26,C0049,P001,2,424.39,0.05,806.34,564.68,3.56,238.1,Partner,Bank Transfer,0
O00121,2024-01-05,C0005,P012,3,43.97,0,131.91,91.77,21.76,18.38,Online,Bank Transfer,0
O00122,2024-02-06,C0118,P007,1,579.93,0.15,492.94,429.61,18.12,45.21,Store,Wallet,0
O00123,2024-03-11,C0196,P003,6,478.73,0.15,2441.52,2241.84,4.86,194.82,Online,Cash,0
O00124,2024-08-13,C0180,P012,2,43.97,0.15,74.75,61.18,16.97,-3.4,Partner,Bank Transfer,0
O00125,2025-03-16,C0112,P002,1,431.8,0,431.8,316.57,17.05,98.18,Store,Wallet,0
O00126,2024-08-07,C0162,P003,2,478.73,0,957.46,747.28,14.89,195.29,Partner,Wallet,0
O00127,2025-02-02,C0014,P011,3,678.3,0,2034.9,1317.93,12.35,704.62,Partner,Bank Transfer,0
O00128,2024-05-31,C0331,P001,2,424.39,0.05,806.34,564.68,9.72,231.94,Partner,Card,0
O00129,2024-09-27,C0007,P006,3,732.43,0,2197.29,1498.65,9.74,688.9,Store,Wallet,0
O00130,2024-10-06,C0350,P003,4,478.73,0,1914.92,1494.56,2.33,418.03,Store,Cash,0
O00131,2024-01-21,C0031,P007,5,579.93,0,2899.65,2148.05,14.57,737.03,Store,Bank Transfer,0
O00132,2024-12-25,C0206,P002,6,431.8,0.1,2331.72,1899.42,12.75,419.55,Online,Wallet,0
O00133,2024-02-10,C0262,P004,2,933.18,0.1,1679.72,1189.02,8.54,482.16,Partner,Card,0
O00134,2024-06-07,C0224,P012,2,43.97,0,87.94,61.18,6.89,19.87,Online,Bank Transfer,0
O00135,2024-11-09,C0312,P001,3,424.39,0.15,1082.19,847.02,16.83,218.34,Online,Card,0
O00136,2024-12-28,C0071,P012,1,43.97,0,43.97,30.59,11.93,1.45,Partner,Wallet,0
O00137,2024-03-26,C0191,P003,6,478.73,0,2872.38,2241.84,16.66,613.88,Online,Wallet,0
O00138,2025-02-17,C0220,P005,5,260.02,0,1300.1,950.25,7.26,342.59,Partner,Card,0
O00139,2024-09-11,C0234,P009,3,691.49,0,2074.47,1227.54,11.99,834.94,Store,Cash,0
O00140,2024-05-10,C0053,P010,6,569.77,0.15,2905.83,2138.82,4.31,762.7,Online,Card,0
O00141,2025-03-15,C0007,P004,1,933.18,0.05,886.52,594.51,9.28,282.73,Online,Card,0
O00142,2024-10-10,C0336,P007,2,579.93,0,1159.86,859.22,6.97,293.67,Store,Wallet,0
O00143,2025-02-26,C0040,P010,3,569.77,0,1709.31,1069.41,12.04,627.86,Online,Cash,0
O00144,2025-02-15,C0265,P001,4,424.39,0,1697.56,1129.36,19.54,548.66,Store,Wallet,0
O00145,2024-02-14,C0284,P008,1,681.31,0,681.31,492.21,6.01,183.09,Store,Cash,0
O00146,2024-08-25,C0189,P010,4,569.77,0,2279.08,1425.88,16.65,836.55,Online,Cash,0
O00147,2024-01-04,C0210,P001,2,424.39,0.1,763.9,564.68,8.93,190.29,Online,Wallet,0
O00148,2024-01-01,C0337,P007,6,579.93,0.15,2957.64,2577.66,8.15,371.83,Online,Bank Transfer,0
O00149,2024-09-08,C0031,P003,6,478.73,0,2872.38,2241.84,3.86,626.68,Partner,Bank Transfer,0
O00150,2024-12-24,C0191,P008,6,681.31,0,4087.86,2953.26,13.62,1120.98,Partner,Bank Transfer,0
O00151,2024-02-08,C0304,P010,1,569.77,0.05,541.28,356.47,15.25,169.56,Store,Wallet,0
O00152,2025-03-11,C0162,P007,6,579.93,0.15,2957.64,2577.66,8.53,371.45,Online,Card,0
O00153,2024-04-13,C0070,P010,1,569.77,0,569.77,356.47,4.11,209.19,Store,Bank Transfer,0
O00154,2024-03-02,C0275,P006,2,732.43,0.05,1391.62,999.1,8.17,384.35,Online,Card,0
O00155,2024-03-21,C0156,P012,6,43.97,0.1,237.44,183.54,2.81,51.09,Store,Cash,0
O00156,2024-02-16,C0128,P006,4,732.43,0.1,2636.75,1998.2,2.98,635.57,Online,Card,0
O00157,2024-07-26,C0232,P009,6,691.49,0.1,3734.05,2455.08,7.0,1271.97,Online,Card,0
O00158,2024-01-07,C0032,P004,2,933.18,0,1866.36,1189.02,18.47,658.87,Partner,Card,0
O00159,2024-10-25,C0301,P005,1,260.02,0,260.02,190.05,21.94,48.03,Partner,Bank Transfer,0
O00160,2025-02-18,C0066,P002,3,431.8,0,1295.4,949.71,2.85,342.84,Online,Bank Transfer,0
O00161,2025-02-24,C0203,P008,1,681.31,0.05,647.24,492.21,15.66,139.37,Online,Cash,0
O00162,2024-05-20,C0144,P008,2,681.31,0,1362.62,984.42,14.28,363.92,Partner,Wallet,0
O00163,2024-09-12,C0211,P009,4,691.49,0,2765.96,1636.72,3.75,1125.49,Store,Cash,0
O00164,2024-11-25,C0270,P004,6,933.18,0.1,5039.17,3567.06,17.9,1454.21,Partner,Wallet,0
O00165,2024-09-02,C0279,P008,3,681.31,0.1,1839.54,1476.63,12.05,350.86,Online,Card,0
O00166,2024-06-12,C0306,P004,1,933.18,0,933.18,594.51,3.17,335.5,Partner,Wallet,0
O00167,2025-01-27,C0300,P004,2,933.18,0,1866.36,1189.02,6.96,670.38,Partner,Card,0
O00168,2025-01-26,C0113,P010,4,569.77,0,2279.08,1425.88,20.7,832.5,Online,Cash,0
O00169,2024-05-01,C0304,P006,6,732.43,0.15,3735.39,2997.3,9.18,728.91,Partner,Wallet,0
O00170,2024-10-17,C0289,P003,5,478.73,0,2393.65,1868.2,18.73,506.72,Store,Wallet,0
O00171,2024-03-30,C0252,P001,1,424.39,0,424.39,282.34,6.65,135.4,Partner,Bank Transfer,0
O00172,2024-01-01,C0170,P010,2,569.77,0,1139.54,712.94,8.82,417.78,Store,Card,0
O00173,2024-01-12,C0076,P010,6,569.77,0,3418.62,2138.82,17.49,1262.31,Store,Card,0
O00174,2024-07-10,C0340,P007,5,579.93,0,2899.65,2148.05,8.73,742.87,Online,Bank Transfer,0
O00175,2025-02-09,C0328,P008,6,681.31,0,4087.86,2953.26,5.48,1129.12,Partner,Wallet,0
O00176,2024-04-24,C0341,P010,2,569.77,0.05,1082.56,712.94,8.14,361.48,Online,Cash,0
O00177,2025-01-08,C0001,P012,5,43.97,0.05,208.86,152.95,19.02,36.89,Partner,Card,0
O00178,2024-04-03,C0309,P006,5,732.43,0,3662.15,2497.75,14.79,1149.61,Store,Cash,0
O00179,2024-06-18,C0040,P004,3,933.18,0,2799.54,1783.53,5.36,1010.65,Online,Wallet,0
O00180,2024-08-16,C0006,P005,2,260.02,0,520.04,380.1,15.86,124.08,Online,Card,0
O00181,2024-01-25,C0198,P008,6,681.31,0.05,3883.47,2953.26,21.38,908.83,Store,Bank Transfer,0
O00182,2024-06-28,C0280,P007,1,579.93,0.05,550.93,429.61,17.77,103.55,Partner,Cash,0
O00183,2024-03-24,C0232,P002,1,431.8,0,431.8,316.57,2.4,112.83,Online,Card,0
O00184,2024-06-24,C0088,P007,2,579.93,0.15,985.88,859.22,3.5,123.16,Online,Wallet,0
O00185,2024-10-31,C0315,P008,6,681.31,0,4087.86,2953.26,10.63,1123.97,Partner,Bank Transfer,0
O00186,2024-03-21,C0028,P002,3,431.8,0,1295.4,949.71,21.49,324.2,Partner,Wallet,0
O00187,2024-12-04,C0145,P005,2,260.02,0,520.04,380.1,2.99,136.95,Store,Cash,0
O00188,2024-01-28,C0185,P001,4,424.39,0,1697.56,1129.36,7.89,560.31,Partner,Bank Transfer,0
O00189,2024-04-12,C0050,P001,2,424.39,0,848.78,564.68,14.76,269.34,Store,Card,0
O00190,2024-06-06,C0204,P008,4,681.31,0.15,2316.45,1968.84,7.3,340.31,Store,Cash,0
O00191,2024-07-08,C0196,P006,2,732.43,0.05,1391.62,999.1,2.89,389.63,Store,Cash,0
O00192,2025-03-04,C0138,P010,1,569.77,0,569.77,356.47,17.04,196.26,Online,Wallet,0
O00193,2025-02-17,C0278,P007,5,579.93,0,2899.65,2148.05,13.07,738.53,Partner,Bank Transfer,0
O00194,2024-10-01,C0244,P010,2,569.77,0.05,1082.56,712.94,7.98,361.64,Partner,Card,0
O00195,2024-09-14,C0293,P009,5,691.49,0.15,2938.83,2045.9,21.66,871.27,Store,Cash,0
O00196,2024-03-26,C0109,P004,2,933.18,0,1866.36,1189.02,10.47,666.87,Store,Cash,0
O00197,2025-02-25,C0322,P003,5,478.73,0,2393.65,1868.2,8.39,517.06,Online,Card,0
O00198,2024-07-17,C0285,P007,5,579.93,0,2899.65,2148.05,19.13,732.47,Online,Bank Transfer,0
O00199,2024-02-27,C0213,P003,2,478.73,0.1,861.71,747.28,13.76,100.67,Online,Card,0
O00200,2024-10-15,C0052,P005,5,260.02,0,1300.1,950.25,19.56,330.29,Partner,Bank Transfer,0
O00201,2024-10-19,C0312,P008,1,681.31,0,681.31,492.21,7.51,181.59,Partner,Bank Transfer,0
O00202,2024-01-20,C0203,P006,6,732.43,0,4394.58,2997.3,2.99,1394.29,Store,Wallet,0
O00203,2024-01-11,C0173,P005,3,260.02,0,780.06,570.15,18.86,191.05,Partner,Card,0
O00204,2025-03-20,C0117,P003,3,478.73,0.15,1220.76,1120.92,10.86,88.98,Store,Bank Transfer,0
O00205,2024-11-05,C0331,P002,2,431.8,0.05,820.42,633.14,6.23,181.05,Partner,Bank Transfer,0
O00206,2025-01-23,C0265,P006,1,732.43,0.1,659.19,499.55,17.83,141.81,Partner,Bank Transfer,0
O00207,2024-03-10,C0269,P010,1,569.77,0,569.77,356.47,5.86,207.44,Online,Cash,0
O00208,2024-01-17,C0234,P001,3,424.39,0.15,1082.19,847.02,5.98,229.19,Store,Bank Transfer,0
O00209,2024-11-21,C0064,P011,1,678.3,0,678.3,439.31,9.45,229.54,Online,Bank Transfer,0
O00210,2024-10-27,C0283,P006,3,732.43,0,2197.29,1498.65,18.75,679.89,Partner,Card,0
O00211,2024-05-25,C0015,P007,1,579.93,0,579.93,429.61,19.08,131.24,Online,Cash,0
O00212,2024-11-27,C0116,P011,2,678.3,0,1356.6,878.62,15.03,462.95,Partner,Card,0
O00213,2024-08-30,C0068,P011,2,678.3,0.1,1220.94,878.62,18.02,324.3,Partner,Wallet,0
O00214,2024-12-30,C0330,P005,4,260.02,0.05,988.08,760.2,19.03,208.85,Online,Bank Transfer,0
O00215,2024-06-03,C0347,P009,5,691.49,0.05,3284.58,2045.9,13.69,1190.01,Store,Wallet,1
O00216,2024-06-01,C0056,P008,1,681.31,0,681.31,492.21,21.77,167.33,Store,Wallet,0
O00217,2024-12-01,C0334,P005,2,260.02,0,520.04,380.1,12.35,127.59,Online,Bank Transfer,0
O00218,2024-12-04,C0164,P011,2,678.3,0.15,1153.11,878.62,2.51,271.98,Store,Wallet,0
O00219,2024-08-02,C0208,P007,6,579.93,0,3479.58,2577.66,13.66,888.26,Online,Wallet,0
O00220,2025-01-06,C0114,P011,5,678.3,0.15,2882.78,2196.55,17.7,668.53,Partner,Wallet,0
O00221,2024-09-16,C0154,P003,6,478.73,0.1,2585.14,2241.84,5.62,337.68,Online,Wallet,0
O00222,2025-01-06,C0287,P003,6,478.73,0,2872.38,2241.84,15.09,615.45,Online,Wallet,0
O00223,2024-08-03,C0170,P006,3,732.43,0.1,1977.56,1498.65,7.88,471.03,Store,Card,0
O00224,2025-03-19,C0325,P010,5,569.77,0.1,2563.97,1782.35,3.42,778.2,Partner,Card,0
O00225,2025-03-20,C0349,P007,5,579.93,0,2899.65,2148.05,10.26,741.34,Online,Cash,0
O00226,2024-04-12,C0176,P007,5,579.93,0.05,2754.67,2148.05,4.86,601.76,Online,Card,0
O00227,2024-09-06,C0171,P011,2,678.3,0,1356.6,878.62,14.69,450.08,Online,Cash,1
O00228,2024-09-07,C0046,P003,5,478.73,0.05,2273.97,1868.2,14.67,391.1,Store,Bank Transfer,0
O00229,2024-01-03,C0020,P009,2,691.49,0.15,1175.53,818.36,9.46,333.04,Partner,Cash,1
O00230,2024-01-10,C0347,P001,6,424.39,0.15,2164.39,1694.04,6.98,463.37,Store,Wallet,0
O00231,2024-03-07,C0053,P007,5,579.93,0.1,2609.68,2148.05,8.12,453.51,Online,Wallet,0
O00232,2024-05-28,C0234,P012,5,43.97,0.1,197.87,152.95,12.48,32.44,Partner,Cash,0
O00233,2024-06-24,C0251,P006,2,732.43,0,1464.86,999.1,20.96,444.8,Store,Card,0
O00234,2024-04-26,C0115,P012,2,43.97,0,87.94,61.18,16.68,10.08,Online,Card,0
O00235,2024-07-06,C0334,P001,4,424.39,0.15,1442.93,1129.36,7.12,306.45,Online,Card,0
O00236,2024-12-04,C0056,P011,1,678.3,0,678.3,439.31,15.79,223.2,Store,Card,0
O00237,2024-10-07,C0130,P008,6,681.31,0,4087.86,2953.26,6.11,1128.49,Online,Wallet,0
O00238,2024-08-03,C0339,P002,6,431.8,0.1,2331.72,1899.42,7.4,424.9,Online,Bank Transfer,0
O00239,2025-03-01,C0054,P009,6,691.49,0.1,3734.05,2455.08,4.35,1274.62,Online,Bank Transfer,0
O00240,2024-04-11,C0312,P004,3,933.18,0.1,2519.59,1783.53,21.46,714.6,Store,Wallet,0
O00241,2024-03-23,C0021,P009,4,691.49,0,2765.96,1636.72,15.76,1113.48,Online,Card,0
O00242,2024-01-07,C0344,P002,1,431.8,0.1,388.62,316.57,15.38,56.67,Online,Card,0
O00243,2025-01-05,C0052,P005,6,260.02,0,1560.12,1140.3,11.14,408.68,Store,Bank Transfer,0
O00244,2024-01-26,C0052,P003,1,478.73,0,478.73,373.64,9.2,95.89,Store,Card,0
O00245,2024-02-18,C0024,P001,2,424.39,0.15,721.46,564.68,14.94,141.84,Store,Wallet,0
O00246,2025-03-25,C0048,P006,3,732.43,0,2197.29,1498.65,4.28,694.36,Store,Wallet,0
O00247,2025-03-03,C0198,P012,4,43.97,0.05,167.09,122.36,14.98,29.75,Online,Cash,0
O00248,2024-12-22,C0031,P003,1,478.73,0.05,454.79,373.64,20.22,60.93,Partner,Bank Transfer,0
O00249,2024-04-02,C0313,P007,3,579.93,0.1,1565.81,1288.83,2.58,274.4,Partner,Cash,0
O00250,2024-09-04,C0250,P002,4,431.8,0.05,1640.84,1266.28,2.92,371.64,Store,Card,0
O00251,2024-12-26,C0348,P009,6,691.49,0.1,3734.05,2455.08,16.48,1262.49,Partner,Wallet,0
O00252,2024-09-22,C0268,P012,6,43.97,0.1,237.44,183.54,3.9,50.0,Online,Bank Transfer,0
O00253,2024-06-26,C0340,P011,6,678.3,0.05,3866.31,2635.86,4.97,1225.48,Partner,Card,0
